iter	Passed	Remaining
313	1427	3117
314	1431	3111
315	1434	3106
316	1438	3100
317	1442	3094
318	1446	3088
319	1450	3082
320	1454	3076
321	1458	3070
322	1462	3065
323	1466	3059
324	1470	3053
325	1474	3047
326	1478	3042
327	1481	3036
328	1485	3030
329	1489	3024
330	1493	3018
331	1497	3012
332	1501	3007
333	1505	3001
334	1509	2996
335	1513	2990
336	1517	2986
337	1522	2981
338	1527	2977
339	1531	2972
340	1535	2966
341	1539	2961
342	1543	2955
343	1547	2950
344	1550	2944
345	1554	2939
346	1559	2934
347	1563	2928
348	1566	2922
349	1570	2916
350	1574	2911
351	1578	2905
352	1582	2900
353	1586	2894
354	1590	2889
355	1594	2884
356	1598	2878
357	1602	2874
358	1606	2868
359	1610	2863
360	1614	2857
361	1618	2852
362	1622	2847
363	1626	2841
364	1630	2836
365	1634	2831
366	1638	2825
367	1641	2819
368	1645	2814
369	1649	2808
370	1653	2803
371	1658	2800
372	1663	2795
373	1667	2791
374	1672	2786
375	1676	2781
376	1680	2776
377	1684	2771
378	1688	2765
379	1691	2760
380	1695	2754
381	1699	2749
382	1703	2744
383	1707	2739
384	1711	2734
385	1715	2728
386	1719	2723
387	1723	2718
388	1727	2712
389	1731	2707
390	1735	2702
391	1739	2697
392	1742	2692
393	1746	2686
394	1750	2681
395	1754	2676
396	1758	2671
397	1762	2665
398	1766	2660
399	1770	2655
400	1774	2650
401	1777	2644
402	1782	2639
403	1786	2634
404	1789	2629
405	1793	2624
406	1798	2620
407	1803	2616
408	1808	2612
409	1812	2608
410	1816	2603
411	1820	2598
412	1824	2593
413	1828	2588
414	1832	2583
415	1836	2578
416	1840	2573
417	1844	2568
418	1848	2563
419	1852	2558
420	1856	2553
421	1860	2548
422	1864	2543
423	1868	2538
